Input: Gutenberg.txt, Output: EncodedGutenberg.txt
Total Characters: 24545
Bits per character: 5.56
Estimated savings: 30.4% 

 
char : frequency : bits 

 : 629 : 101000
 : 629 : 101001
  : 4128 : 1111
! : 45 : 1011001110
" : 43 : 1011001100
# : 1 : 100000010011110
' : 50 : 1101110001
( : 1 : 100000010011111
) : 1 : 100111100000000
* : 6 : 1101110010000
, : 305 : 1001110
- : 115 : 10000000
. : 216 : 11011101
0 : 3 : 1000000100000
1 : 5 : 1001111010110
2 : 4 : 1000000100101
3 : 1 : 100111100000001
5 : 2 : 10000001001001
8 : 1 : 100111100000010
9 : 4 : 1000000100110
: : 6 : 1101110010001
» : 1 : 100111100000110
; : 11 : 101100110110
¿ : 1 : 100111100000111
? : 10 : 100111101000
A : 31 : 1000000101
B : 33 : 1000000110
C : 12 : 110111000000
D : 10 : 100111101001
E : 27 : 11011100101
F : 2 : 10000001001110
G : 9 : 100111100001
H : 25 : 11011100001
I : 257 : 1000010
J : 48 : 1011001111
K : 3 : 1000000100001
L : 17 : 10000001111
M : 5 : 1001111010111
N : 12 : 110111000001
O : 22 : 10110011010
P : 21 : 10011110110
R : 13 : 110111001001
S : 21 : 10011110111
T : 57 : 1101110011
U : 7 : 100000010001
V : 1 : 100111100000011
W : 18 : 10011110001
Y : 11 : 101100110111
[ : 1 : 100111100000100
] : 1 : 100111100000101
a : 1508 : 11000
b : 245 : 1000001
c : 342 : 1011000
d : 772 : 110010
e : 2134 : 11101
f : 360 : 1011011
g : 354 : 1011010
h : 1017 : 111001
i : 1139 : 10001
j : 18 : 10011110010
k : 170 : 10110010
l : 813 : 110110
m : 412 : 1100111
n : 1317 : 10101
ï : 1 : 10000001001000
o : 1424 : 10111
p : 285 : 1000011
q : 20 : 10011110011
r : 944 : 111000
s : 1166 : 10010
t : 1673 : 11010
u : 553 : 100110
v : 157 : 10011111
w : 441 : 1101111
x : 16 : 10000001110
y : 372 : 1100110
z : 10 : 100111101010
